Precio;Direccion;Superficie;Dormitorios;Baños;Link;Comuna;Valor UF;Valor Pesos
"Desde
UF 3.390";Claudio Gay 1933, Santiago;56 - 7195 m² útiles ; 2 - 3 dormitorios  ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8164-edificio-vergara-nva#position=11&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 3.390;0
"Desde
UF 3.400";Exequiel Fernández 1455, Ñuñoa;39 - 84 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7761-exequiel-fernandez-1455-nva#position=15&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.400;0
"Desde
UF 3.409";Holanda 3857, Ñuñoa;34 - 47 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7702-orange-nva#position=49&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.409;9
"Desde
UF 3.426";Avenida Irarrázaval 3360, Ñuñoa;36 - 77 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7996-edificio-irarrazaval-3360-nva#position=4&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.426;6
"Desde
UF 3.444";Plaza Egaña 100, Ñuñoa;34 - 72 m² útiles ; 1 - 3 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7360-sky-100-nva#position=2&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.444;4
"Desde
UF 3.458";San Eugenio 600, Ñuñoa;34 - 78 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8452-concepto-all-nunoa-nva#position=47&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.458;8
"Desde
UF 3.458";Helsinski 5740, La Reina;36 - 89 m² útiles ; 1 - 4 dormitorios  ; 1 - 4 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/7147-edificio-fundador-don-daniel-nva#position=1&type=item&tracking_id=88c81499-8111-450b-80da-245859599ab7;La Reina, RM (Metropolitana);UF 3.458;8
"Desde
UF 3.500";Av. Sucre 3174, Ñuñoa;37 - 279 m² útiles ; 1 - 4 dormitorios  ; 1 - 5 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/7376-sucremas-nva#position=22&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.500;0
"Desde
UF 3.506";Av. José Pedro Alessandri 1295, Ñuñoa;36 - 81 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9521-concepto-best-nunoa-nva#position=50&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.506;6
"Desde
UF 3.524";Manuel Rodríguez 39, Santiago;40 - 52 m² útiles ; 2 dormitorios  ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8192-edificio-manuel-rodriguez-nva#position=21&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 3.524;4
"Desde
UF 3.537";Los Aliaga 5500, Ñuñoa;37 - 75 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8474-tempo-nva#position=31&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.537;7
"Desde
UF 3.550";Morandé 857, Santiago;48 - 55 m² útiles ; 2 dormitorios  ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/7051-puerta-centro-nva#position=10&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 3.550;0
